X,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_popularity,album_release_date,,,
609,65,1OYOLWqKmhkFIx2KC9ek1a,7tHd518aPjJYUgyv9bidBz,7L6kEZVkWh7OEI71b1JHZd,"Colors Of The Wind - From ""Pocahantas""",Judy Kuhn,Pocahontas,FALSE,1,11,spotify:track:1OYOLWqKmhkFIx2KC9ek1a,62.659,audio_features,1,-17.232,1,0.0573,0.103,0.219,0.249,0.17,https://api.spotify.com/v1/tracks/1OYOLWqKmhkFIx2KC9ek1a,https://api.spotify.com/v1/audio-analysis/1OYOLWqKmhkFIx2KC9ek1a,214400,4,0.933,0.000344,hollywood,60,59,1/1/1995,,,
636,62,6P316E7tFylzpVrDrXVF9s,7tHd518aPjJYUgyv9bidBz,7L6kEZVkWh7OEI71b1JHZd,"Just Around The Riverbend - From ""Pocahantas""",Judy Kuhn,Pocahontas,FALSE,1,6,spotify:track:6P316E7tFylzpVrDrXVF9s,65.092,audio_features,0,-16.825,1,0.0539,0.195,0.224,0.411,0.183,https://api.spotify.com/v1/tracks/6P316E7tFylzpVrDrXVF9s,https://api.spotify.com/v1/audio-analysis/6P316E7tFylzpVrDrXVF9s,147707,4,0.919,1.49E-05,hollywood,60,59,1/1/1995,,,
663,64,6urCAbunOQI4bLhmGpX7iS,0cQbJU1aAzvbEmTuljWLlF,3VekjWskUut57hx6W9wqL8,Don't Speak,No Doubt,Tragic Kingdom,FALSE,1,10,spotify:track:6urCAbunOQI4bLhmGpX7iS,76.078,audio_features,0,-7.055,0,0.0333,0.17,0.532,0.515,0.705,https://api.spotify.com/v1/tracks/6urCAbunOQI4bLhmGpX7iS,https://api.spotify.com/v1/audio-analysis/6urCAbunOQI4bLhmGpX7iS,263560,4,0.224,1.33E-05,alternative rock,69,59,10/10/1995,,,
690,59,5lWRaa0fBxDE5yU91npPq7,0cQbJU1aAzvbEmTuljWLlF,3VekjWskUut57hx6W9wqL8,Just A Girl,No Doubt,Tragic Kingdom,FALSE,1,3,spotify:track:5lWRaa0fBxDE5yU91npPq7,108.011,audio_features,2,-4.769,1,0.0505,0.138,0.77,0.637,0.904,https://api.spotify.com/v1/tracks/5lWRaa0fBxDE5yU91npPq7,https://api.spotify.com/v1/audio-analysis/5lWRaa0fBxDE5yU91npPq7,209200,4,0.0999,8.20E-05,alternative rock,69,59,10/10/1995,,,
744,56,4ZD6SiaJi75smnel0d7jl3,0cQbJU1aAzvbEmTuljWLlF,3VekjWskUut57hx6W9wqL8,Spiderwebs,No Doubt,Tragic Kingdom,FALSE,1,1,spotify:track:4ZD6SiaJi75smnel0d7jl3,143.337,audio_features,10,-7.082,1,0.0544,0.0987,0.697,0.49,0.841,https://api.spotify.com/v1/tracks/4ZD6SiaJi75smnel0d7jl3,https://api.spotify.com/v1/audio-analysis/4ZD6SiaJi75smnel0d7jl3,268400,4,0.0397,1.47E-05,alternative rock,69,59,10/10/1995,,,
780,64,2stkLJ0JNcXkIRDNF3ld6c,3HQyFCFFfJO3KKBlUfZsyW,47OFnLtLVi5WrPYNXAwFGh,"You've Got a Friend In Me - From ""Toy Story"" / Soundtrack",Randy Newman,Toy Story,FALSE,1,1,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,115.883,audio_features,3,-12.151,1,0.0336,0.285,0.532,0.681,0.335,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c,124160,4,0.793,3.39E-06,disney,61,54,1/1/1995,,,
807,68,3ABG1UQTk0eLYUAeWkmfMi,50NoVNy9GU1lCrDV8iGpyu,4tI4WJdTN5MzDMRMl2i7VR,Shimmy Shimmy Ya,Ol' Dirty Bastard,Return To The 36 Chambers: The Dirty Version,TRUE,1,2,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,96.252,audio_features,0,-5.183,1,0.245,0.0495,0.193,0.814,0.481,https://api.spotify.com/v1/tracks/3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/audio-analysis/3ABG1UQTk0eLYUAeWkmfMi,161400,4,0.097,3.83E-05,alternative hip hop,62,59,1995,,,
834,64,1uzWOoJdADfstQuFtQFTUn,5N5RfI8FFXk4WQ8kkjE407,6errc1YD0IKeT3sudfomvO,Breakfast At Tiffany's,Deep Blue Something,Home,FALSE,1,2,spotify:track:1uzWOoJdADfstQuFtQFTUn,110.377,audio_features,2,-5.484,1,0.0293,0.097,0.503,0.628,0.829,https://api.spotify.com/v1/tracks/1uzWOoJdADfstQuFtQFTUn,https://api.spotify.com/v1/audio-analysis/1uzWOoJdADfstQuFtQFTUn,257373,4,0.12,0,pop rock,58,53,1/1/1995,,,
861,63,6tDxrq4FxEL2q15y37tXT9,1ZwdS5xdxEREPySFridCfh,3OrucS4sHv6Bl9GS4rafEk,Dear Mama,2Pac,Me Against The World,TRUE,1,9,spotify:track:6tDxrq4FxEL2q15y37tXT9,84.124,audio_features,6,-7.136,1,0.126,0.129,0.31,0.773,0.542,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4,0.379,0,g funk,80,60,1/1/1995,,,
888,58,0NzNKU2MJ9LCetT2uZMJH2,1ZwdS5xdxEREPySFridCfh,3OrucS4sHv6Bl9GS4rafEk,So Many Tears,2Pac,Me Against The World,TRUE,1,4,spotify:track:0NzNKU2MJ9LCetT2uZMJH2,92.708,audio_features,1,-7.59,1,0.173,0.0663,0.605,0.894,0.598,https://api.spotify.com/v1/tracks/0NzNKU2MJ9LCetT2uZMJH2,https://api.spotify.com/v1/audio-analysis/0NzNKU2MJ9LCetT2uZMJH2,239227,4,0.0233,1.23E-05,g funk,80,60,1/1/1995,,,
906,56,76wJIkA63AgwA92hUhpE2V,1ZwdS5xdxEREPySFridCfh,3OrucS4sHv6Bl9GS4rafEk,Me Against The World,2Pac,Me Against The World,TRUE,1,3,spotify:track:76wJIkA63AgwA92hUhpE2V,91.921,audio_features,6,-4.25,1,0.208,0.464,0.751,0.79,0.799,https://api.spotify.com/v1/tracks/76wJIkA63AgwA92hUhpE2V,https://api.spotify.com/v1/audio-analysis/76wJIkA63AgwA92hUhpE2V,279133,4,0.0287,0.0299,g funk,80,60,1/1/1995,,,
